text,date,phase,source,cleaned_text
I'm Gen Z and usually when people do this it means you asked a dumb or provoking question and we don't want to start an argument or deal with you because it's not worth our time. I'm speaking for myself and the people I know so I can't say anything about the girl in the clip.,2025-08-15T21:43:14Z,before,youtube,im gen z and usually when people do this it means you asked a dumb or provoking question and we dont want to start an argument or deal with you because its not worth our time im speaking for myself and the people i know so i cant say anything about the girl in the clip
"When its not because they're being snarky, its because they're unintelligent. Just dont leave and keep asking questions and you'll clearly discover it's one or the other. What it definitely isn't is what most of them are claiming it is, some kind of evolved social super-behaviour.

They're dysfunctional, not extra functional.",2025-08-14T13:07:14Z,before,youtube,when its not because theyre being snarky its because theyre unintelligent just dont leave and keep asking questions and youll clearly discover its one or the other what it definitely isnt is what most of them are claiming it is some kind of evolved social superbehaviour theyre dysfunctional not extra functional
"I didn't know it was called this but I do it intentionally , if someone is being rude or asking me stupid questions, or doing too much, I just stare at them cause if I said anything it would probs not be very nice but I also have adhd and disassociate into my thought space a lot",2025-08-14T02:10:54Z,before,youtube,i didnt know it was called this but i do it intentionally if someone is being rude or asking me stupid questions or doing too much i just stare at them cause if i said anything it would probs not be very nice but i also have adhd and disassociate into my thought space a lot
Definitely has nothing to do with people asking stupid questions. Gen Z is just weird and never has a clue how to communicate. Love my kids to death but it works my nerves how they cant have a conversation with real people.,2025-08-13T18:21:53Z,before,youtube,definitely has nothing to do with people asking stupid questions gen z is just weird and never has a clue how to communicate love my kids to death but it works my nerves how they cant have a conversation with real people
"OMG ! I've actually been considering quiting my job after the end of my maternity leave because of a genZ coworker who does all of this 😂  (more specifically, i'm working for the government so i won't be ""quiting"" per say, but i'm gonna ask to work in another location). I've been doing this job for almost 10 years and worked with all kind of personalities, but when i moved there and had to work in close partnership with her, acting like a robot all day and refusing to enter any basic work relationship, it made me literally sick. It's super violent. People who do this don't realize how violent can be this kind of antisocial behavior.",2025-08-13T15:31:20Z,before,youtube,omg ive actually been considering quiting my job after the end of my maternity leave because of a genz coworker who does all of this more specifically im working for the government so i wont be quiting per say but im gonna ask to work in another location ive been doing this job for almost years and worked with all kind of personalities but when i moved there and had to work in close partnership with her acting like a robot all day and refusing to enter any basic work relationship it made me literally sick its super violent people who do this dont realize how violent can be this kind of antisocial behavior
It’s not cute. It makes them look brain damaged,2025-08-13T05:58:32Z,before,youtube,its not cute it makes them look brain damaged
Then gen z stare. It’s basically saying “are you seriously this stupid?,2025-08-13T01:35:54Z,before,youtube,then gen z stare its basically saying are you seriously this stupid
Die unendliche Leere in ihrem Kopf spiegeln die Augen nach außen.,2025-08-12T05:57:27Z,before,youtube,die unendliche leere in ihrem kopf spiegeln die augen nach außen
Its the face they make looking at their phones 24/7. Its just stuck like that,2025-08-12T04:50:08Z,before,youtube,its the face they make looking at their phones its just stuck like that
Socially inept. No debate.,2025-08-11T23:19:37Z,before,youtube,socially inept no debate
"I'm gen z, 97' and I feel that it's rude to just stare and not respond to a conversation. It shows a lack of consideration, manners, and interpersonal communication skills.",2025-08-11T18:29:26Z,before,youtube,im gen z and i feel that its rude to just stare and not respond to a conversation it shows a lack of consideration manners and interpersonal communication skills
"It is rude. And yes, it happens when you are just trying to interact with them. I kid you not, I will be lucky if they turn around and say good morning back to me when I enter our small shared office. And yes, I say good morning with 'happiness' in my voice. I tried a couple of times to not say anything, just to see what would happen. Complete silence, no acknowledging my presence at all.

I guess I must be such a worthless human being that I am not even worth a simple 'good morning'.",2025-08-11T17:09:12Z,before,youtube,it is rude and yes it happens when you are just trying to interact with them i kid you not i will be lucky if they turn around and say good morning back to me when i enter our small shared office and yes i say good morning with happiness in my voice i tried a couple of times to not say anything just to see what would happen complete silence no acknowledging my presence at all i guess i must be such a worthless human being that i am not even worth a simple good morning
It just makes them seems dumb with poor socialization,2025-08-11T06:54:20Z,before,youtube,it just makes them seems dumb with poor socialization
Gen Z are pathetic.,2025-08-11T04:00:33Z,before,youtube,gen z are pathetic
"Every generation gets some sort of $hit. Millennials use to get it REALLY bad - they were considered lazy, dumb, and spoiled by the internet too. Every generation will get made fun of until they have “proven” themselves. It’s a cycle but at the end is the day every generation has something unique and special to offer.",2025-08-11T02:55:17Z,before,youtube,every generation gets some sort of hit millennials use to get it really bad they were considered lazy dumb and spoiled by the internet too every generation will get made fun of until they have proven themselves its a cycle but at the end is the day every generation has something unique and special to offer
"I've been hanging around adults my whole life, since I grew up international with a single mother, and I can say everyone has a genz stare just in different variations. Ive learned the genx stare which is basically a corporate smile and stare when someone says something incredibly obvious.",2025-08-10T12:05:53Z,before,youtube,ive been hanging around adults my whole life since i grew up international with a single mother and i can say everyone has a genz stare just in different variations ive learned the genx stare which is basically a corporate smile and stare when someone says something incredibly obvious
Incorrect training. That is all.,2025-08-10T11:22:16Z,before,youtube,incorrect training that is all
"Warranted or not, the stare is for sure rude and shows a lack of socialization and personal awareness. People ask dumb questions and say dumb things all of the time. That’s not a good enough reason the mentally check out of your body while having a conversation with others, especially while working. If someone does this in their personal life I automatically identify them as mentally slow.",2025-08-09T22:30:24Z,before,youtube,warranted or not the stare is for sure rude and shows a lack of socialization and personal awareness people ask dumb questions and say dumb things all of the time thats not a good enough reason the mentally check out of your body while having a conversation with others especially while working if someone does this in their personal life i automatically identify them as mentally slow
"The is lockdown. I feel alwful for poor youngsters who had no teenagehood no uni years. Those years when we got to hangout, drink, party, hookup, socialise, get out hearts broken, got to work in client facing service in fast paced and vibrant world, many Gen Z just got to stay home and do remote school or remote lectures.",2025-08-09T22:28:20Z,before,youtube,the is lockdown i feel alwful for poor youngsters who had no teenagehood no uni years those years when we got to hangout drink party hookup socialise get out hearts broken got to work in client facing service in fast paced and vibrant world many gen z just got to stay home and do remote school or remote lectures
That because they spend so much Time in social media that they malfunction when interacting with real human beings..,2025-08-08T10:22:06Z,before,youtube,that because they spend so much time in social media that they malfunction when interacting with real human beings
I’m 25 so not gen z… if we wanna talk about stupid people how about women over the age of 65 getting behind the wheel. Seriously society would get better instantly if they did yearly retesting on elderly license holders,2025-08-08T07:09:42Z,before,youtube,im so not gen z if we wanna talk about stupid people how about women over the age of getting behind the wheel seriously society would get better instantly if they did yearly retesting on elderly license holders
I havents seem them in europe tbh. Maybe is just in america where people needs to talk constantly without very low density and quality of information,2025-08-08T05:38:52Z,before,youtube,i havents seem them in europe tbh maybe is just in america where people needs to talk constantly without very low density and quality of information
Reminded me when I was at a mates party with his uni friends and everyone just looked really confused whenever I tried talking to them — then making fun of me for not talking to them. Yeah I left,2025-08-06T22:22:57Z,before,youtube,reminded me when i was at a mates party with his uni friends and everyone just looked really confused whenever i tried talking to them then making fun of me for not talking to them yeah i left
"What else y'all gonna come up with?? The gen z sigh of being exhausted, or the gen z attitude of not giving a fuck because we're tired of you old fucks playing the blame game for a world and system you built.",2025-08-06T17:41:30Z,before,youtube,what else yall gonna come up with the gen z sigh of being exhausted or the gen z attitude of not giving a fuck because were tired of you old fucks playing the blame game for a world and system you built
"Sometimes i feel like they are just being ignorant or arrogant,  or think you're just old and boring and not worth talking to its rude.",2025-08-06T16:38:36Z,before,youtube,sometimes i feel like they are just being ignorant or arrogant or think youre just old and boring and not worth talking to its rude
Yes that's  why i think most customer service is poor  these days,2025-08-06T16:36:28Z,before,youtube,yes thats why i think most customer service is poor these days
Result of short circuit in their brain,2025-08-06T12:42:01Z,before,youtube,result of short circuit in their brain
"Just another intergenerational beef being sensationalized, I remember when gen x and millennials beefed like this, and I'll see y'all again when it's gen alpha and gen z",2025-08-06T03:25:24Z,before,youtube,just another intergenerational beef being sensationalized i remember when gen x and millennials beefed like this and ill see yall again when its gen alpha and gen z
It’s rude. But I don’t think they always mean to be rude. I think that they need to learn skills to be in the workforce and general society.,2025-08-05T12:09:52Z,before,youtube,its rude but i dont think they always mean to be rude i think that they need to learn skills to be in the workforce and general society
A pagpag liker with an aussie accent. Enough internet for today.,2025-08-05T02:47:56Z,before,youtube,a pagpag liker with an aussie accent enough internet for today
I do that because I actually don’t want to keep the conversation going and I want the person to leave.,2025-08-05T02:35:02Z,before,youtube,i do that because i actually dont want to keep the conversation going and i want the person to leave
"""Yeah, I want a cheeseburger w no bun or cheese, also, hold the meat"" 
""I'm sorry, does that mean that u want a cheeseburger w nothing???""
""Omfg you gen z ers are so stupid, do ppl not know how to make a burger anymore???""
*stare*",2025-08-04T21:49:40Z,before,youtube,yeah i want a cheeseburger w no bun or cheese also hold the meat im sorry does that mean that u want a cheeseburger w nothing omfg you gen z ers are so stupid do ppl not know how to make a burger anymore stare
The gen z I’ve worked with havent had that problem. They were very sociable and hard working.,2025-08-04T13:27:32Z,before,youtube,the gen z ive worked with havent had that problem they were very sociable and hard working
"That stare only makes you look like a robot. And, no it’s not just used for stupid questions. Gen Z is trying to normalize rudeness.",2025-08-03T23:33:27Z,before,youtube,that stare only makes you look like a robot and no its not just used for stupid questions gen z is trying to normalize rudeness
It’s cause they all grew up on pharmaceuticals and adderall. Theyre like functioning tweakers 😂.,2025-08-03T20:29:18Z,before,youtube,its cause they all grew up on pharmaceuticals and adderall theyre like functioning tweakers
And they wonder why they can't get jobs.,2025-08-03T08:56:44Z,before,youtube,and they wonder why they cant get jobs
Hard to have a work ethic when most can’t afford to live,2025-08-03T02:52:36Z,before,youtube,hard to have a work ethic when most cant afford to live
Boomer brainrot,2025-08-02T23:17:22Z,before,youtube,boomer brainrot
"To older generations, stop saying dumb shit, stop trying to act young and ""cool,"" stop taking yourself too seriously, stop acting like you know what were thinking, millennials can fuck off with the soy lifestyle bs, gen x some of yall are cool but the other half just says shit they dont understand, boomers yall can fuck right off get the fuck out of the work force so we can move up you narssacistic pricks. And all of yall stop asking us tech questions how can yall not plug in HDMI or conventional cords its literally fucking shapes and colors.",2025-08-02T00:14:00Z,before,youtube,to older generations stop saying dumb shit stop trying to act young and cool stop taking yourself too seriously stop acting like you know what were thinking millennials can fuck off with the soy lifestyle bs gen x some of yall are cool but the other half just says shit they dont understand boomers yall can fuck right off get the fuck out of the work force so we can move up you narssacistic pricks and all of yall stop asking us tech questions how can yall not plug in hdmi or conventional cords its literally fucking shapes and colors
I think it's just teenagers being teenagers. Older GenZ's do not act like that.,2025-08-01T17:54:15Z,before,youtube,i think its just teenagers being teenagers older genzs do not act like that
Been teaching high school for a hot minute and literally this was a bizarre twist. Seriously was my entire 4 bio classes last year. I was like “what the f is happening right now?” Not really rowdy or verbally rude behaviors at all. Just a silent stare. I’ve never ever ever had students just sit and stare and make no response. It was like children of the corn. Or like the fainting goats. I’d ask a  question and make eye contact with a student and all I could think of was the fainting goats memes playing out in my classroom.,2025-08-01T06:40:31Z,before,youtube,been teaching high school for a hot minute and literally this was a bizarre twist seriously was my entire bio classes last year i was like what the f is happening right now not really rowdy or verbally rude behaviors at all just a silent stare ive never ever ever had students just sit and stare and make no response it was like children of the corn or like the fainting goats id ask a question and make eye contact with a student and all i could think of was the fainting goats memes playing out in my classroom
"To me it feels like you’ve said something to them, and as they were watching you talk it was as if they thought they were watching a TV screen or their phone and forgot it was a real life interaction.  They didn’t know they were supposed to reply",2025-07-31T20:29:31Z,before,youtube,to me it feels like youve said something to them and as they were watching you talk it was as if they thought they were watching a tv screen or their phone and forgot it was a real life interaction they didnt know they were supposed to reply
"It's brain rot, a disability.  Have some pity.  Gen Z are dorks anyway.",2025-07-31T13:15:35Z,before,youtube,its brain rot a disability have some pity gen z are dorks anyway
It’s rude and confusing,2025-07-31T12:31:10Z,before,youtube,its rude and confusing
"I guess as a gen-x-er we learned from a young age to have manners, were taught how to conduct ourselves in public, handle rejection, heck we were bullies and bullied as kids so you learned to not take crap off anyone.  We also didn't grow up with cell phones, let alone smartphones. But just the same, I think this is the same no matter what generation, when you are a teenager it's equally as awkward to talk to someone older just as much as it is someone like me at 50 talking to these kids at the restaurant counter, gas station, etc. SO really not a deal....just common human awkwardness.",2025-07-30T23:24:52Z,before,youtube,i guess as a genxer we learned from a young age to have manners were taught how to conduct ourselves in public handle rejection heck we were bullies and bullied as kids so you learned to not take crap off anyone we also didnt grow up with cell phones let alone smartphones but just the same i think this is the same no matter what generation when you are a teenager its equally as awkward to talk to someone older just as much as it is someone like me at talking to these kids at the restaurant counter gas station etc so really not a dealjust common human awkwardness
Stop asking me “how are you” just tell me what you’re ordering,2025-07-30T17:22:30Z,before,youtube,stop asking me how are you just tell me what youre ordering
I am 61 and I am Proud to say. I come from Better Times Back When Men were Men and the Sheep were Scared!,2025-07-30T16:21:22Z,before,youtube,i am and i am proud to say i come from better times back when men were men and the sheep were scared
"I have encountered this quite a bit.  Almost always it indicates arrogance.  ""You are not worth my time.  I am the center of the universe and you are a peon. Ugh, I hate my job. ""
The I hate my job part is because the ""Job"" interrupts the cognitive dissonance with the reality that they are not the center of the universe.",2025-07-30T15:13:59Z,before,youtube,i have encountered this quite a bit almost always it indicates arrogance you are not worth my time i am the center of the universe and you are a peon ugh i hate my job the i hate my job part is because the job interrupts the cognitive dissonance with the reality that they are not the center of the universe
the man does not look real …,2025-07-30T05:02:05Z,before,youtube,the man does not look real
"I’m gen z and I’ve been told I do this. I hate it. It usually happens when someone is talking, especially giving directions, and my mind wanders off. I have trouble focusing and processing information and I believe it’s the result of excessive social media use.

I also noticed that whenever my professors would say hi and ask how everyone was doing, nobody ever responded. I did sometimes because I thought it was rude not to. Gen z is weird man. Blank stares, not saying hi, avoiding eye contact, etc. Our social skills are trash.",2025-07-29T06:21:58Z,before,youtube,im gen z and ive been told i do this i hate it it usually happens when someone is talking especially giving directions and my mind wanders off i have trouble focusing and processing information and i believe its the result of excessive social media use i also noticed that whenever my professors would say hi and ask how everyone was doing nobody ever responded i did sometimes because i thought it was rude not to gen z is weird man blank stares not saying hi avoiding eye contact etc our social skills are trash
AI and automation can't take their jobs soon enough.,2025-07-29T04:40:44Z,before,youtube,ai and automation cant take their jobs soon enough
Depends they are either a shitty person or mentally ill wit trauma,2025-07-28T23:25:22Z,before,youtube,depends they are either a shitty person or mentally ill wit trauma
"They are not intelligent enough to respond in a way that’s appropriate to the concern. Therefore, you get the blank stare. When my generation is gone, America will be gone with it.",2025-07-28T20:03:54Z,before,youtube,they are not intelligent enough to respond in a way thats appropriate to the concern therefore you get the blank stare when my generation is gone america will be gone with it
"It's gotten so bad that on the rare occasion you can even get the attention of someone in a fast food place to place an order because the kiosk heater is broken or doesn't have the item or the sequence that you need they just stare at you like you're talking to me? Why are you talking to me when I was young, you would be fired if you let customer look your direction for 10 seconds without greeting them.",2025-07-28T20:03:27Z,before,youtube,its gotten so bad that on the rare occasion you can even get the attention of someone in a fast food place to place an order because the kiosk heater is broken or doesnt have the item or the sequence that you need they just stare at you like youre talking to me why are you talking to me when i was young you would be fired if you let customer look your direction for seconds without greeting them
A GENERATION OF MORONS.,2025-07-28T17:12:12Z,before,youtube,a generation of morons
Pretty sure we all got it from watching Squidward growing up,2025-07-28T16:10:40Z,before,youtube,pretty sure we all got it from watching squidward growing up
Retards.,2025-07-28T15:52:01Z,before,youtube,retards
I really hate these dumbass kids 🤦🏾‍♂️,2025-07-28T15:24:48Z,before,youtube,i really hate these dumbass kids
Attitude problem. Don’t overthink it.,2025-07-28T03:44:46Z,before,youtube,attitude problem dont overthink it
BS they are saying it's due to stupid questions.  Gen z say nothing when you walk in nothing at the register nothing after you order after they didnt ask what you wanted anyway nothing when they take your card nothing as they drop it on the counter and turn their backs and nothing as you leave. They just act like npc.,2025-07-27T20:52:48Z,before,youtube,bs they are saying its due to stupid questions gen z say nothing when you walk in nothing at the register nothing after you order after they didnt ask what you wanted anyway nothing when they take your card nothing as they drop it on the counter and turn their backs and nothing as you leave they just act like npc
I'd fire an employee real fast if they did that while serving customers,2025-07-27T16:35:14Z,before,youtube,id fire an employee real fast if they did that while serving customers
"Sorry as an employee you’re gonna have to deal with stupidity. It is not your position to stare people down when they ask a dumb question. But honestly, there’s no justification for this. It’s just awkwardness",2025-07-27T00:49:12Z,before,youtube,sorry as an employee youre gonna have to deal with stupidity it is not your position to stare people down when they ask a dumb question but honestly theres no justification for this its just awkwardness
"I assume they are just slow, special Ed when someone stares like they need tome to process I formation",2025-07-26T19:35:01Z,before,youtube,i assume they are just slow special ed when someone stares like they need tome to process i formation
Bunch of losers,2025-07-25T11:59:05Z,before,youtube,bunch of losers
"As a 22 year old gen Z woman, I’m very and highly sociable in public (unless I’m not in the mood to be bothered with) and I still give people the Gen-Z stare because people say a lot of off the wall stuff and I literally don’t want to respond to them or unless they try to get too personal. Also, older generations tend to lack the awareness of social cues. Prime example, why are you talking to me when you see me with my headphones on? READ THE ROOM.",2025-07-24T23:53:51Z,before,youtube,as a year old gen z woman im very and highly sociable in public unless im not in the mood to be bothered with and i still give people the genz stare because people say a lot of off the wall stuff and i literally dont want to respond to them or unless they try to get too personal also older generations tend to lack the awareness of social cues prime example why are you talking to me when you see me with my headphones on read the room
Fucking rude.,2025-07-24T16:50:05Z,before,youtube,fucking rude
They did her dirty😂😂,2025-12-04T05:17:56Z,after,youtube,they did her dirty
"Violation of Human rights alone, disqualifies this government from participating in the current & any future governance of Uganda.",2025-12-03T19:43:18Z,after,youtube,violation of human rights alone disqualifies this government from participating in the current any future governance of uganda
"Hi, my friends, like your arguments, very sober from Kenya",2025-12-03T12:06:37Z,after,youtube,hi my friends like your arguments very sober from kenya
The first kid sounds like he's had professional speech training.,2025-11-15T21:15:56Z,after,youtube,the first kid sounds like hes had professional speech training
First kid is going far in politics,2025-11-12T13:57:32Z,after,youtube,first kid is going far in politics
Pushing shite around like dung-beetles..,2025-11-12T01:08:13Z,after,youtube,pushing shite around like dungbeetles
Is there a minimum age requirement?,2025-11-09T14:06:32Z,after,youtube,is there a minimum age requirement
Ab baari kiski Mai Jan se Marta hu kisi din phir vahi hoga Jo manjure Khuda hoga,2026-02-06T05:48:36Z,after,youtube,ab baari kiski mai jan se marta hu kisi din phir vahi hoga jo manjure khuda hoga
I think we should make ashika tamang the prime minister🇳🇵🫡🙏🏽,2026-01-13T09:41:43Z,after,youtube,i think we should make ashika tamang the prime minister
Cmon where did Indian mediation come from? Wth 😂😂. I guess he didn’t see the slap the Indian media got from the protesters while trying to interfere. Stop this BS Indian godi media,2026-01-08T07:51:22Z,after,youtube,cmon where did indian mediation come from wth i guess he didnt see the slap the indian media got from the protesters while trying to interfere stop this bs indian godi media
Jay. Akhandbharat 🇮🇳🇮🇳🇮🇳,2025-12-29T04:21:29Z,after,youtube,jay akhandbharat
"Deepest tie with china dont makes Nepali gen Z angry.
Nepali goverment had long history with india specially religion and trades becouse india is the only way Nepali gets and exporting goods, india and Nepali corruptions is same, do not lying becouse world not so stupidest like indian,",2025-12-21T17:22:27Z,after,youtube,deepest tie with china dont makes nepali gen z angry nepali goverment had long history with india specially religion and trades becouse india is the only way nepali gets and exporting goods india and nepali corruptions is same do not lying becouse world not so stupidest like indian
"This will happened to India specially when educated and hard working indian, gen z and taxs payed belives Indian will never benefiting majority becouse corrupted indian politicians and hates promoted by media.",2025-12-21T17:18:26Z,after,youtube,this will happened to india specially when educated and hard working indian gen z and taxs payed belives indian will never benefiting majority becouse corrupted indian politicians and hates promoted by media
The situation in Nigeria,2025-12-18T06:50:20Z,after,youtube,the situation in nigeria
all governments and banks need to be removed. money makes it easy to corrupt.,2025-12-11T00:59:41Z,after,youtube,all governments and banks need to be removed money makes it easy to corrupt
Guys nepal won🎉🎉 we have a new prime minister!,2025-12-07T14:33:30Z,after,youtube,guys nepal won we have a new prime minister
People don't put governments in control don't ever vote for governments mps again and make sure everyone in your country knows young and old. You need to hang all mps eliets judges military police that have killed people and hang them also. Letting the police military they work for you or remove yourselves from your positions Or the people will remove you and you will hang. Your choice. The eliets Rothchilds vanguard blackrock Jp George soros Bill gates Tony blair Ed millerband Matt  Hancock David Cameron morgan the bankers merchants all the criminals must be removed they have been doing this for hundreds/ thousands of years throughout history. Thats  what they do there phycopaths pedophiles war mongers criminals tyrants genocide mafia thieves who rape the planet and children.,2025-11-30T02:15:58Z,after,youtube,people dont put governments in control dont ever vote for governments mps again and make sure everyone in your country knows young and old you need to hang all mps eliets judges military police that have killed people and hang them also letting the police military they work for you or remove yourselves from your positions or the people will remove you and you will hang your choice the eliets rothchilds vanguard blackrock jp george soros bill gates tony blair ed millerband matt hancock david cameron morgan the bankers merchants all the criminals must be removed they have been doing this for hundreds thousands of years throughout history thats what they do there phycopaths pedophiles war mongers criminals tyrants genocide mafia thieves who rape the planet and children
"This is what we must be SO CAREFUL of when these elites incite riots it means constitutionally they enact military law and people are quashed restrictions even tighter. So these elites know how to react to violence and that we only have a limited amount of mental physical energy whereas most of the military is employed to engage wit hit's own citizens.,. Be wary, be spiritual and strong believe in oneself. Blessings",2025-11-28T00:47:02Z,after,youtube,this is what we must be so careful of when these elites incite riots it means constitutionally they enact military law and people are quashed restrictions even tighter so these elites know how to react to violence and that we only have a limited amount of mental physical energy whereas most of the military is employed to engage wit hits own citizens be wary be spiritual and strong believe in oneself blessings
"Ok, CLEARLY ITS NOT JUST YOUTHS!!! Media needs to stop minoritizing and belittling genuine human beings coming together to overthrow government overreach and Tech Companies sadistic power over people. This has come to a head and we must realise these elites ( above governments, people we don't see pulling strings are watching to see this as a testing ground so if we do this in the west and EVERY country we Must ALL come together and know government  OF ANY kind is bad! No if or but. We must simply live without their auspice and power grab over our energy time and family and get our own land learn to commune together and work the land plant food etc and simply live instead of trying to survive under their constant tyranny ! Blessings hope Nepal can reconcile without ANY government ! My power strength and harmony to these people",2025-11-28T00:41:50Z,after,youtube,ok clearly its not just youths media needs to stop minoritizing and belittling genuine human beings coming together to overthrow government overreach and tech companies sadistic power over people this has come to a head and we must realise these elites above governments people we dont see pulling strings are watching to see this as a testing ground so if we do this in the west and every country we must all come together and know government of any kind is bad no if or but we must simply live without their auspice and power grab over our energy time and family and get our own land learn to commune together and work the land plant food etc and simply live instead of trying to survive under their constant tyranny blessings hope nepal can reconcile without any government my power strength and harmony to these people
If you don’t know the all the story then lorn about first and make a video,2025-11-27T17:15:47Z,after,youtube,if you dont know the all the story then lorn about first and make a video
Wake up Nepal people against against corruption,2025-11-22T18:07:45Z,after,youtube,wake up nepal people against against corruption
I wish the youth of Canada would stand up. Very proud of Nepal,2025-11-17T16:43:23Z,after,youtube,i wish the youth of canada would stand up very proud of nepal
South Africa needs to also ignite our government,2025-11-15T18:07:22Z,after,youtube,south africa needs to also ignite our government
Okay congrats! Now when will you take a bath?,2025-11-10T21:55:39Z,after,youtube,okay congrats now when will you take a bath
Informative video of gen g protest against corruption,2025-11-10T05:42:01Z,after,youtube,informative video of gen g protest against corruption
history of nepal and other protest https://www.youtube.com/watch?v=ZSxQyD5SIkM,2025-10-25T20:01:17Z,after,youtube,history of nepal and other protest
When did the revolution started,2025-10-11T10:28:01Z,after,youtube,when did the revolution started
Good for them Americans next,2025-10-07T15:34:49Z,after,youtube,good for them americans next
My brother hit KP Oli with a stone (Respect for him but he should've hit him with a metal bar),2025-10-06T06:56:40Z,after,youtube,my brother hit kp oli with a stone respect for him but he shouldve hit him with a metal bar
Youths is angry the corruption govt,2025-09-28T07:44:09Z,after,youtube,youths is angry the corruption govt
"🆘Pls pin this🆘...:

I'm Malagasy, currently here in Madagascar we are fighting for basic rights (water, electricity, free speech) and against corruption and insecurities. On September 25th, we did a pacifist protest asking for those rights but we were met with hostility and violence from those supposed to protect us (police officers, special forces). 

⚠️They shot at us, threw teargas grenades at us, hit us with batons, locked up some of the protestants to silence us. And even went as far as paying people to rob and terrorize civils to discredit our fight for our rights. They mobilized tanks angaist youth who begged for their rights but did nothing in the face of robbers.⚠️

And they imposed a curfew, anyone seen in the streets after 5pm were shot indiacriminately!!

Pls help us spread information so we will not be ignored and silenced 🙏🙏
#FreeMadagascar🇲🇬",2025-09-26T18:29:01Z,after,youtube,pls pin this im malagasy currently here in madagascar we are fighting for basic rights water electricity free speech and against corruption and insecurities on september th we did a pacifist protest asking for those rights but we were met with hostility and violence from those supposed to protect us police officers special forces they shot at us threw teargas grenades at us hit us with batons locked up some of the protestants to silence us and even went as far as paying people to rob and terrorize civils to discredit our fight for our rights they mobilized tanks angaist youth who begged for their rights but did nothing in the face of robbers and they imposed a curfew anyone seen in the streets after pm were shot indiacriminately pls help us spread information so we will not be ignored and silenced freemadagascar
"Prime minister KP Oli is fully nonsense, he is fully corrupt leader,",2025-09-23T12:08:17Z,after,youtube,prime minister kp oli is fully nonsense he is fully corrupt leader
Very good destroy your own property😂😂 ....,2025-09-23T10:45:57Z,after,youtube,very good destroy your own property
i like how.. all of this.... ended with🐧🐧🐧🐧🐧🐧🐧,2025-09-23T09:53:58Z,after,youtube,i like how all of this ended with
"I’m all for Gen Z taking over a corrupt country, but they sure didn’t believe in man-made global climate change. 
If it is true, those who said fires are bigger criminals, then the rich of Nepal. As somebody who has love for the planet because of Jesus Christ is my Lord and Savior I still think those who set the fires need to confess their sins to God, Almighty.",2025-09-21T21:51:13Z,after,youtube,im all for gen z taking over a corrupt country but they sure didnt believe in manmade global climate change if it is true those who said fires are bigger criminals then the rich of nepal as somebody who has love for the planet because of jesus christ is my lord and savior i still think those who set the fires need to confess their sins to god almighty
"Yes the US sent nepal a ton of money. But here's the thing. We, as in the nepali people didn't see a cent of it. Many of us weren't even aware of US investment in nepal. All that money disappeared into the bureaucratic machine that is the government.
So was the gen z protest organic? I think so
Did the US have a hand in it? Most probably
Was the revolution beneficial for the nation? Most definitely",2025-09-21T16:33:10Z,after,youtube,yes the us sent nepal a ton of money but heres the thing we as in the nepali people didnt see a cent of it many of us werent even aware of us investment in nepal all that money disappeared into the bureaucratic machine that is the government so was the gen z protest organic i think so did the us have a hand in it most probably was the revolution beneficial for the nation most definitely
Nepal.. is... Totally educated.. country..,2025-09-20T13:45:13Z,after,youtube,nepal is totally educated country
😂 in Cambodian eat the same thing. The government is corruption. Everything is worse than Nepal,2025-09-20T00:36:49Z,after,youtube,in cambodian eat the same thing the government is corruption everything is worse than nepal
Hahaha caption genz 🤣🤣 jadi MCM ni sbb pemimpin gen y 🤣🤣,2025-09-19T22:44:29Z,after,youtube,hahaha caption genz jadi mcm ni sbb pemimpin gen y
"I thought revolutions took years, but this man literally overthrow the government in less than a month",2025-09-19T13:22:19Z,after,youtube,i thought revolutions took years but this man literally overthrow the government in less than a month
Who pays for private property destroyed?,2025-09-19T11:27:34Z,after,youtube,who pays for private property destroyed
"If your country is poor, yet the leader lives in a palace dressed in silk, you should not be surprised if the people feel betrayed.",2025-09-19T09:00:16Z,after,youtube,if your country is poor yet the leader lives in a palace dressed in silk you should not be surprised if the people feel betrayed
The national guard would shoot them all here.,2025-09-19T02:37:08Z,after,youtube,the national guard would shoot them all here
India is disgusting,2025-09-19T01:39:26Z,after,youtube,india is disgusting
"As an outsider, it’s inspiring to witness Nepal's incredible diversity and the potential for unity in its people. With such a rich tapestry of ethnic groups, languages, and cultures, the true strength of Nepal lies in its ability to come together as one. As the new government takes office, I sincerely hope that all communities, from the hills to the Terai, are respected and included in the journey forward. May Nepal continue to foster unity, equality, and opportunity for everyone, allowing each citizen to thrive and contribute to a prosperous future for the nation as a whole",2025-09-19T01:00:51Z,after,youtube,as an outsider its inspiring to witness nepals incredible diversity and the potential for unity in its people with such a rich tapestry of ethnic groups languages and cultures the true strength of nepal lies in its ability to come together as one as the new government takes office i sincerely hope that all communities from the hills to the terai are respected and included in the journey forward may nepal continue to foster unity equality and opportunity for everyone allowing each citizen to thrive and contribute to a prosperous future for the nation as a whole
Youth uprising in 1970,2025-09-19T00:55:01Z,after,youtube,youth uprising in
Dang i feel bad,2025-09-18T11:58:46Z,after,youtube,dang i feel bad
Crazy how the government can't fight many people and the army had to go there just to deal with the situation,2025-09-18T11:49:13Z,after,youtube,crazy how the government cant fight many people and the army had to go there just to deal with the situation
