text,date,phase,source
its rude when not responding to a customer on a job its not rude not responding to a teacher yelling at you or trying to make you say the right answer in class. its ok to be silent but remember this is coming out more and more because of WEDNESDAY the gen z pop culture reference THATS THE TRUTH.,2025-08-22T11:28:38Z,before,youtube
When you tell the clerk at Walgreens that you thought a particular item was supposed to be on sale… 👁️👁️,2025-08-22T03:55:21Z,before,youtube
It’s brainwashing.,2025-08-22T03:53:45Z,before,youtube
"I don’t lack work ethic or communication skills I stare because, why are you asking me anything but also you’re asking me something that’s too obvious",2025-08-21T21:40:35Z,before,youtube
"Um im 42 grown man and i do this especially to annoying, power tripping and very loud people!  This is not just happening for Gen Z alone.",2025-08-20T11:58:29Z,before,youtube
"My 17yr old godson had that dumbass vacant zombie stare.. Hell, you may get an unintelligible grunt if you're lucky.. I warned him once, if he does that garbage with me again, I'm cutting off his wifi for a week.. Being GenX myself, he soon discovered I don't stutter.. He turns 18 this December and I've got him down to Marine response time now.. They look real slow but they learn damn fast..",2025-08-20T11:16:01Z,before,youtube
"I think everyone from any generation does the ""Gen Z stare"" when someone says something dumb. It's when you walk in and say ""hi"" and they look at you like you've got two heads that I take issue. If you can't handle customers, go clean toilets, cook, or make beds.",2025-08-19T20:41:20Z,before,youtube
My thing is if the phones are causing this then maybe something should be done to curtail communication deterioration and not blame them like they have a bad soul or something?,2025-08-19T19:57:28Z,before,youtube
"This is not AT ALL specific to gen Z.  Why are we crediting something to gen z, that has been going on for decades.  The current popularity of this subject matter is unwarranted",2025-08-19T15:00:36Z,before,youtube
Can’t make small talk but will make whole Tik Toks about the iced latte they ordered from Starbucks that morning,2025-08-19T03:23:45Z,before,youtube
I know the answer. You are a R tard.,2025-08-19T02:03:01Z,before,youtube
We're cooked.,2025-08-18T17:27:32Z,before,youtube
It’s Rude,2025-08-18T04:34:44Z,before,youtube
Forcing small talk is more disrespectful. Forcing made-up facial expressions and speech is ignoring worker personality. What's wrong with being expressionless?,2025-08-18T03:13:30Z,before,youtube
So annoying . I go to the grocery store and here I am waiting for this annoying  gen z to help me . I’m waiting to pay and she’s  standing there with that dead look( so awkward ). I’m like umm I’d like to pay for this . She says nothing and starts to scan . Not a word and not a smile .,2025-08-17T05:25:57Z,before,youtube
They're buffering 😂,2025-08-17T04:05:52Z,before,youtube
Its just dumb and they look stupid.,2025-08-16T21:40:39Z,before,youtube
What a pressing problem and definitely not another excuse to bash younger generations.,2025-08-16T14:08:08Z,before,youtube
I'm Gen Z and usually when people do this it means you asked a dumb or provoking question and we don't want to start an argument or deal with you because it's not worth our time. I'm speaking for myself and the people I know so I can't say anything about the girl in the clip.,2025-08-15T21:43:14Z,before,youtube
"When its not because they're being snarky, its because they're unintelligent. Just dont leave and keep asking questions and you'll clearly discover it's one or the other. What it definitely isn't is what most of them are claiming it is, some kind of evolved social super-behaviour.

They're dysfunctional, not extra functional.",2025-08-14T13:07:14Z,before,youtube
"I didn't know it was called this but I do it intentionally , if someone is being rude or asking me stupid questions, or doing too much, I just stare at them cause if I said anything it would probs not be very nice but I also have adhd and disassociate into my thought space a lot",2025-08-14T02:10:54Z,before,youtube
Definitely has nothing to do with people asking stupid questions. Gen Z is just weird and never has a clue how to communicate. Love my kids to death but it works my nerves how they cant have a conversation with real people.,2025-08-13T18:21:53Z,before,youtube
"OMG ! I've actually been considering quiting my job after the end of my maternity leave because of a genZ coworker who does all of this 😂  (more specifically, i'm working for the government so i won't be ""quiting"" per say, but i'm gonna ask to work in another location). I've been doing this job for almost 10 years and worked with all kind of personalities, but when i moved there and had to work in close partnership with her, acting like a robot all day and refusing to enter any basic work relationship, it made me literally sick. It's super violent. People who do this don't realize how violent can be this kind of antisocial behavior.",2025-08-13T15:31:20Z,before,youtube
It’s not cute. It makes them look brain damaged,2025-08-13T05:58:32Z,before,youtube
Then gen z stare. It’s basically saying “are you seriously this stupid?,2025-08-13T01:35:54Z,before,youtube
Die unendliche Leere in ihrem Kopf spiegeln die Augen nach außen.,2025-08-12T05:57:27Z,before,youtube
Its the face they make looking at their phones 24/7. Its just stuck like that,2025-08-12T04:50:08Z,before,youtube
Socially inept. No debate.,2025-08-11T23:19:37Z,before,youtube
"I'm gen z, 97' and I feel that it's rude to just stare and not respond to a conversation. It shows a lack of consideration, manners, and interpersonal communication skills.",2025-08-11T18:29:26Z,before,youtube
"It is rude. And yes, it happens when you are just trying to interact with them. I kid you not, I will be lucky if they turn around and say good morning back to me when I enter our small shared office. And yes, I say good morning with 'happiness' in my voice. I tried a couple of times to not say anything, just to see what would happen. Complete silence, no acknowledging my presence at all.

I guess I must be such a worthless human being that I am not even worth a simple 'good morning'.",2025-08-11T17:09:12Z,before,youtube
It just makes them seems dumb with poor socialization,2025-08-11T06:54:20Z,before,youtube
Gen Z are pathetic.,2025-08-11T04:00:33Z,before,youtube
"Every generation gets some sort of $hit. Millennials use to get it REALLY bad - they were considered lazy, dumb, and spoiled by the internet too. Every generation will get made fun of until they have “proven” themselves. It’s a cycle but at the end is the day every generation has something unique and special to offer.",2025-08-11T02:55:17Z,before,youtube
"I've been hanging around adults my whole life, since I grew up international with a single mother, and I can say everyone has a genz stare just in different variations. Ive learned the genx stare which is basically a corporate smile and stare when someone says something incredibly obvious.",2025-08-10T12:05:53Z,before,youtube
Incorrect training. That is all.,2025-08-10T11:22:16Z,before,youtube
"Warranted or not, the stare is for sure rude and shows a lack of socialization and personal awareness. People ask dumb questions and say dumb things all of the time. That’s not a good enough reason the mentally check out of your body while having a conversation with others, especially while working. If someone does this in their personal life I automatically identify them as mentally slow.",2025-08-09T22:30:24Z,before,youtube
"The is lockdown. I feel alwful for poor youngsters who had no teenagehood no uni years. Those years when we got to hangout, drink, party, hookup, socialise, get out hearts broken, got to work in client facing service in fast paced and vibrant world, many Gen Z just got to stay home and do remote school or remote lectures.",2025-08-09T22:28:20Z,before,youtube
That because they spend so much Time in social media that they malfunction when interacting with real human beings..,2025-08-08T10:22:06Z,before,youtube
I’m 25 so not gen z… if we wanna talk about stupid people how about women over the age of 65 getting behind the wheel. Seriously society would get better instantly if they did yearly retesting on elderly license holders,2025-08-08T07:09:42Z,before,youtube
I havents seem them in europe tbh. Maybe is just in america where people needs to talk constantly without very low density and quality of information,2025-08-08T05:38:52Z,before,youtube
Reminded me when I was at a mates party with his uni friends and everyone just looked really confused whenever I tried talking to them — then making fun of me for not talking to them. Yeah I left,2025-08-06T22:22:57Z,before,youtube
"What else y'all gonna come up with?? The gen z sigh of being exhausted, or the gen z attitude of not giving a fuck because we're tired of you old fucks playing the blame game for a world and system you built.",2025-08-06T17:41:30Z,before,youtube
"Sometimes i feel like they are just being ignorant or arrogant,  or think you're just old and boring and not worth talking to its rude.",2025-08-06T16:38:36Z,before,youtube
Yes that's  why i think most customer service is poor  these days,2025-08-06T16:36:28Z,before,youtube
Result of short circuit in their brain,2025-08-06T12:42:01Z,before,youtube
"Just another intergenerational beef being sensationalized, I remember when gen x and millennials beefed like this, and I'll see y'all again when it's gen alpha and gen z",2025-08-06T03:25:24Z,before,youtube
It’s rude. But I don’t think they always mean to be rude. I think that they need to learn skills to be in the workforce and general society.,2025-08-05T12:09:52Z,before,youtube
A pagpag liker with an aussie accent. Enough internet for today.,2025-08-05T02:47:56Z,before,youtube
I do that because I actually don’t want to keep the conversation going and I want the person to leave.,2025-08-05T02:35:02Z,before,youtube
"""Yeah, I want a cheeseburger w no bun or cheese, also, hold the meat"" 
""I'm sorry, does that mean that u want a cheeseburger w nothing???""
""Omfg you gen z ers are so stupid, do ppl not know how to make a burger anymore???""
*stare*",2025-08-04T21:49:40Z,before,youtube
The gen z I’ve worked with havent had that problem. They were very sociable and hard working.,2025-08-04T13:27:32Z,before,youtube
"That stare only makes you look like a robot. And, no it’s not just used for stupid questions. Gen Z is trying to normalize rudeness.",2025-08-03T23:33:27Z,before,youtube
It’s cause they all grew up on pharmaceuticals and adderall. Theyre like functioning tweakers 😂.,2025-08-03T20:29:18Z,before,youtube
And they wonder why they can't get jobs.,2025-08-03T08:56:44Z,before,youtube
Hard to have a work ethic when most can’t afford to live,2025-08-03T02:52:36Z,before,youtube
Boomer brainrot,2025-08-02T23:17:22Z,before,youtube
"To older generations, stop saying dumb shit, stop trying to act young and ""cool,"" stop taking yourself too seriously, stop acting like you know what were thinking, millennials can fuck off with the soy lifestyle bs, gen x some of yall are cool but the other half just says shit they dont understand, boomers yall can fuck right off get the fuck out of the work force so we can move up you narssacistic pricks. And all of yall stop asking us tech questions how can yall not plug in HDMI or conventional cords its literally fucking shapes and colors.",2025-08-02T00:14:00Z,before,youtube
I think it's just teenagers being teenagers. Older GenZ's do not act like that.,2025-08-01T17:54:15Z,before,youtube
Been teaching high school for a hot minute and literally this was a bizarre twist. Seriously was my entire 4 bio classes last year. I was like “what the f is happening right now?” Not really rowdy or verbally rude behaviors at all. Just a silent stare. I’ve never ever ever had students just sit and stare and make no response. It was like children of the corn. Or like the fainting goats. I’d ask a  question and make eye contact with a student and all I could think of was the fainting goats memes playing out in my classroom.,2025-08-01T06:40:31Z,before,youtube
"To me it feels like you’ve said something to them, and as they were watching you talk it was as if they thought they were watching a TV screen or their phone and forgot it was a real life interaction.  They didn’t know they were supposed to reply",2025-07-31T20:29:31Z,before,youtube
"It's brain rot, a disability.  Have some pity.  Gen Z are dorks anyway.",2025-07-31T13:15:35Z,before,youtube
It’s rude and confusing,2025-07-31T12:31:10Z,before,youtube
"I guess as a gen-x-er we learned from a young age to have manners, were taught how to conduct ourselves in public, handle rejection, heck we were bullies and bullied as kids so you learned to not take crap off anyone.  We also didn't grow up with cell phones, let alone smartphones. But just the same, I think this is the same no matter what generation, when you are a teenager it's equally as awkward to talk to someone older just as much as it is someone like me at 50 talking to these kids at the restaurant counter, gas station, etc. SO really not a deal....just common human awkwardness.",2025-07-30T23:24:52Z,before,youtube
Stop asking me “how are you” just tell me what you’re ordering,2025-07-30T17:22:30Z,before,youtube
I am 61 and I am Proud to say. I come from Better Times Back When Men were Men and the Sheep were Scared!,2025-07-30T16:21:22Z,before,youtube
"I have encountered this quite a bit.  Almost always it indicates arrogance.  ""You are not worth my time.  I am the center of the universe and you are a peon. Ugh, I hate my job. ""
The I hate my job part is because the ""Job"" interrupts the cognitive dissonance with the reality that they are not the center of the universe.",2025-07-30T15:13:59Z,before,youtube
the man does not look real …,2025-07-30T05:02:05Z,before,youtube
"I’m gen z and I’ve been told I do this. I hate it. It usually happens when someone is talking, especially giving directions, and my mind wanders off. I have trouble focusing and processing information and I believe it’s the result of excessive social media use.

I also noticed that whenever my professors would say hi and ask how everyone was doing, nobody ever responded. I did sometimes because I thought it was rude not to. Gen z is weird man. Blank stares, not saying hi, avoiding eye contact, etc. Our social skills are trash.",2025-07-29T06:21:58Z,before,youtube
AI and automation can't take their jobs soon enough.,2025-07-29T04:40:44Z,before,youtube
Depends they are either a shitty person or mentally ill wit trauma,2025-07-28T23:25:22Z,before,youtube
"They are not intelligent enough to respond in a way that’s appropriate to the concern. Therefore, you get the blank stare. When my generation is gone, America will be gone with it.",2025-07-28T20:03:54Z,before,youtube
"It's gotten so bad that on the rare occasion you can even get the attention of someone in a fast food place to place an order because the kiosk heater is broken or doesn't have the item or the sequence that you need they just stare at you like you're talking to me? Why are you talking to me when I was young, you would be fired if you let customer look your direction for 10 seconds without greeting them.",2025-07-28T20:03:27Z,before,youtube
A GENERATION OF MORONS.,2025-07-28T17:12:12Z,before,youtube
Pretty sure we all got it from watching Squidward growing up,2025-07-28T16:10:40Z,before,youtube
Retards.,2025-07-28T15:52:01Z,before,youtube
I really hate these dumbass kids 🤦🏾‍♂️,2025-07-28T15:24:48Z,before,youtube
Attitude problem. Don’t overthink it.,2025-07-28T03:44:46Z,before,youtube
BS they are saying it's due to stupid questions.  Gen z say nothing when you walk in nothing at the register nothing after you order after they didnt ask what you wanted anyway nothing when they take your card nothing as they drop it on the counter and turn their backs and nothing as you leave. They just act like npc.,2025-07-27T20:52:48Z,before,youtube
I'd fire an employee real fast if they did that while serving customers,2025-07-27T16:35:14Z,before,youtube
"Sorry as an employee you’re gonna have to deal with stupidity. It is not your position to stare people down when they ask a dumb question. But honestly, there’s no justification for this. It’s just awkwardness",2025-07-27T00:49:12Z,before,youtube
"I assume they are just slow, special Ed when someone stares like they need tome to process I formation",2025-07-26T19:35:01Z,before,youtube
Bunch of losers,2025-07-25T11:59:05Z,before,youtube
"As a 22 year old gen Z woman, I’m very and highly sociable in public (unless I’m not in the mood to be bothered with) and I still give people the Gen-Z stare because people say a lot of off the wall stuff and I literally don’t want to respond to them or unless they try to get too personal. Also, older generations tend to lack the awareness of social cues. Prime example, why are you talking to me when you see me with my headphones on? READ THE ROOM.",2025-07-24T23:53:51Z,before,youtube
Fucking rude.,2025-07-24T16:50:05Z,before,youtube
They did her dirty😂😂,2025-12-04T05:17:56Z,after,youtube
"Violation of Human rights alone, disqualifies this government from participating in the current & any future governance of Uganda.",2025-12-03T19:43:18Z,after,youtube
"Hi, my friends, like your arguments, very sober from Kenya",2025-12-03T12:06:37Z,after,youtube
The first kid sounds like he's had professional speech training.,2025-11-15T21:15:56Z,after,youtube
First kid is going far in politics,2025-11-12T13:57:32Z,after,youtube
Pushing shite around like dung-beetles..,2025-11-12T01:08:13Z,after,youtube
👍🏼👍🏼👍🏼,2025-11-10T08:06:04Z,after,youtube
Is there a minimum age requirement?,2025-11-09T14:06:32Z,after,youtube
Ab baari kiski Mai Jan se Marta hu kisi din phir vahi hoga Jo manjure Khuda hoga,2026-02-06T05:48:36Z,after,youtube
I think we should make ashika tamang the prime minister🇳🇵🫡🙏🏽,2026-01-13T09:41:43Z,after,youtube
Cmon where did Indian mediation come from? Wth 😂😂. I guess he didn’t see the slap the Indian media got from the protesters while trying to interfere. Stop this BS Indian godi media,2026-01-08T07:51:22Z,after,youtube
Jay. Akhandbharat 🇮🇳🇮🇳🇮🇳,2025-12-29T04:21:29Z,after,youtube
"Deepest tie with china dont makes Nepali gen Z angry.
Nepali goverment had long history with india specially religion and trades becouse india is the only way Nepali gets and exporting goods, india and Nepali corruptions is same, do not lying becouse world not so stupidest like indian,",2025-12-21T17:22:27Z,after,youtube
"This will happened to India specially when educated and hard working indian, gen z and taxs payed belives Indian will never benefiting majority becouse corrupted indian politicians and hates promoted by media.",2025-12-21T17:18:26Z,after,youtube
The situation in Nigeria,2025-12-18T06:50:20Z,after,youtube
all governments and banks need to be removed. money makes it easy to corrupt.,2025-12-11T00:59:41Z,after,youtube
Guys nepal won🎉🎉 we have a new prime minister!,2025-12-07T14:33:30Z,after,youtube
People don't put governments in control don't ever vote for governments mps again and make sure everyone in your country knows young and old. You need to hang all mps eliets judges military police that have killed people and hang them also. Letting the police military they work for you or remove yourselves from your positions Or the people will remove you and you will hang. Your choice. The eliets Rothchilds vanguard blackrock Jp George soros Bill gates Tony blair Ed millerband Matt  Hancock David Cameron morgan the bankers merchants all the criminals must be removed they have been doing this for hundreds/ thousands of years throughout history. Thats  what they do there phycopaths pedophiles war mongers criminals tyrants genocide mafia thieves who rape the planet and children.,2025-11-30T02:15:58Z,after,youtube
"This is what we must be SO CAREFUL of when these elites incite riots it means constitutionally they enact military law and people are quashed restrictions even tighter. So these elites know how to react to violence and that we only have a limited amount of mental physical energy whereas most of the military is employed to engage wit hit's own citizens.,. Be wary, be spiritual and strong believe in oneself. Blessings",2025-11-28T00:47:02Z,after,youtube
"Ok, CLEARLY ITS NOT JUST YOUTHS!!! Media needs to stop minoritizing and belittling genuine human beings coming together to overthrow government overreach and Tech Companies sadistic power over people. This has come to a head and we must realise these elites ( above governments, people we don't see pulling strings are watching to see this as a testing ground so if we do this in the west and EVERY country we Must ALL come together and know government  OF ANY kind is bad! No if or but. We must simply live without their auspice and power grab over our energy time and family and get our own land learn to commune together and work the land plant food etc and simply live instead of trying to survive under their constant tyranny ! Blessings hope Nepal can reconcile without ANY government ! My power strength and harmony to these people",2025-11-28T00:41:50Z,after,youtube
If you don’t know the all the story then lorn about first and make a video,2025-11-27T17:15:47Z,after,youtube
Wake up Nepal people against against corruption,2025-11-22T18:07:45Z,after,youtube
I wish the youth of Canada would stand up. Very proud of Nepal,2025-11-17T16:43:23Z,after,youtube
South Africa needs to also ignite our government,2025-11-15T18:07:22Z,after,youtube
Okay congrats! Now when will you take a bath?,2025-11-10T21:55:39Z,after,youtube
Informative video of gen g protest against corruption,2025-11-10T05:42:01Z,after,youtube
history of nepal and other protest https://www.youtube.com/watch?v=ZSxQyD5SIkM,2025-10-25T20:01:17Z,after,youtube
When did the revolution started,2025-10-11T10:28:01Z,after,youtube
Good for them Americans next,2025-10-07T15:34:49Z,after,youtube
My brother hit KP Oli with a stone (Respect for him but he should've hit him with a metal bar),2025-10-06T06:56:40Z,after,youtube
Youths is angry the corruption govt,2025-09-28T07:44:09Z,after,youtube
"🆘Pls pin this🆘...:

I'm Malagasy, currently here in Madagascar we are fighting for basic rights (water, electricity, free speech) and against corruption and insecurities. On September 25th, we did a pacifist protest asking for those rights but we were met with hostility and violence from those supposed to protect us (police officers, special forces). 

⚠️They shot at us, threw teargas grenades at us, hit us with batons, locked up some of the protestants to silence us. And even went as far as paying people to rob and terrorize civils to discredit our fight for our rights. They mobilized tanks angaist youth who begged for their rights but did nothing in the face of robbers.⚠️

And they imposed a curfew, anyone seen in the streets after 5pm were shot indiacriminately!!

Pls help us spread information so we will not be ignored and silenced 🙏🙏
#FreeMadagascar🇲🇬",2025-09-26T18:29:01Z,after,youtube
"Prime minister KP Oli is fully nonsense, he is fully corrupt leader,",2025-09-23T12:08:17Z,after,youtube
Very good destroy your own property😂😂 ....,2025-09-23T10:45:57Z,after,youtube
i like how.. all of this.... ended with🐧🐧🐧🐧🐧🐧🐧,2025-09-23T09:53:58Z,after,youtube
"I’m all for Gen Z taking over a corrupt country, but they sure didn’t believe in man-made global climate change. 
If it is true, those who said fires are bigger criminals, then the rich of Nepal. As somebody who has love for the planet because of Jesus Christ is my Lord and Savior I still think those who set the fires need to confess their sins to God, Almighty.",2025-09-21T21:51:13Z,after,youtube
"Yes the US sent nepal a ton of money. But here's the thing. We, as in the nepali people didn't see a cent of it. Many of us weren't even aware of US investment in nepal. All that money disappeared into the bureaucratic machine that is the government.
So was the gen z protest organic? I think so
Did the US have a hand in it? Most probably
Was the revolution beneficial for the nation? Most definitely",2025-09-21T16:33:10Z,after,youtube
Nepal.. is... Totally educated.. country..,2025-09-20T13:45:13Z,after,youtube
😂 in Cambodian eat the same thing. The government is corruption. Everything is worse than Nepal,2025-09-20T00:36:49Z,after,youtube
Hahaha caption genz 🤣🤣 jadi MCM ni sbb pemimpin gen y 🤣🤣,2025-09-19T22:44:29Z,after,youtube
"I thought revolutions took years, but this man literally overthrow the government in less than a month",2025-09-19T13:22:19Z,after,youtube
Who pays for private property destroyed?,2025-09-19T11:27:34Z,after,youtube
"If your country is poor, yet the leader lives in a palace dressed in silk, you should not be surprised if the people feel betrayed.",2025-09-19T09:00:16Z,after,youtube
The national guard would shoot them all here.,2025-09-19T02:37:08Z,after,youtube
India is disgusting,2025-09-19T01:39:26Z,after,youtube
"As an outsider, it’s inspiring to witness Nepal's incredible diversity and the potential for unity in its people. With such a rich tapestry of ethnic groups, languages, and cultures, the true strength of Nepal lies in its ability to come together as one. As the new government takes office, I sincerely hope that all communities, from the hills to the Terai, are respected and included in the journey forward. May Nepal continue to foster unity, equality, and opportunity for everyone, allowing each citizen to thrive and contribute to a prosperous future for the nation as a whole",2025-09-19T01:00:51Z,after,youtube
Youth uprising in 1970,2025-09-19T00:55:01Z,after,youtube
Dang i feel bad,2025-09-18T11:58:46Z,after,youtube
Crazy how the government can't fight many people and the army had to go there just to deal with the situation,2025-09-18T11:49:13Z,after,youtube
❤Brawo nie poddawajcie się wzywam policję wojsko do przyłączenia się do ludzi jesteśmy tacy sami dość ucisku 🇵🇱Polska jest z Wami,2025-09-18T04:23:41Z,after,youtube
Keta ho yo parichalit ho Zen Z pl Lipulekh ko mudda uthaunu result mili halda,2025-09-17T17:15:15Z,after,youtube
Police fire rubber bullets but find the post martem bullets in the body is original,2025-09-17T17:13:01Z,after,youtube
Pl enquiry this matter,2025-09-17T17:11:19Z,after,youtube
Zen Z 13 RDS fire of Nepal police but 52 RDS report of post Mart,2025-09-17T17:10:39Z,after,youtube
Sachchha Nepali bhaye Lipulekh ko kura kina harayo,2025-09-17T17:08:52Z,after,youtube
Zen Z ko protest ma lipulekh kina xaina,2025-09-17T17:07:48Z,after,youtube
"its not about social media 
its main them is corruption 
so dont miss lead the public plz",2025-09-17T15:00:08Z,after,youtube
Gen z age is just 17,2025-09-17T14:00:12Z,after,youtube
They are not gen z,2025-09-17T13:59:35Z,after,youtube
"its called communist, thats why people are broke",2025-09-17T13:58:00Z,after,youtube
GOOD JOB NEPAL STUDENTS.,2025-09-17T13:49:48Z,after,youtube
"Meanwhile, in America they're not showing this.",2025-09-17T07:18:28Z,after,youtube
I’m sorry… do what to the pool?,2025-09-17T04:25:28Z,after,youtube
Watch out anc watch out,2025-09-17T04:01:12Z,after,youtube
India has nothing  to offer.,2025-09-17T00:02:27Z,after,youtube
G Z played important role in RI n Malaysia too in order to promote Anti corruption in the country concerened😊😊,2025-09-16T19:25:23Z,after,youtube
"I never supports you Nepal youth, it's because your acts doesn't have right. Why firing, why???? You should have dealt with particular person who corrupted if you have dam, why to show you anger to materialistic😭😭😭",2025-09-16T16:48:10Z,after,youtube
Once we see this turn Nepal 1000% times better itll ripple outwards and affect the rest of the world,2025-09-16T13:39:22Z,after,youtube
GEN Z LEADERS FUNDED BY CHINA.,2025-09-16T13:37:43Z,after,youtube
am smiling seeing an uprising that started from my country spreading to other countries,2025-09-16T12:38:06Z,after,youtube
"Dapat ganyan ginawa ng panahon ni digong , puro ejk, pogo, korapsyon at tuta ng intsekwa.",2025-09-16T11:51:03Z,after,youtube
By China occupied to Nipal with their Chinese and muslin new generation revolutions 😂😂😂😂😂So they kill to real Nepal men for Chi a world dream 😂😂😂😂,2025-09-16T09:41:50Z,after,youtube
News or moral science?,2025-09-16T08:55:23Z,after,youtube
eww China,2025-09-16T06:48:43Z,after,youtube
Why the hell are we giving 500mil to them put that money in thr navy,2025-09-16T03:20:36Z,after,youtube
2:46  67,2025-09-16T01:10:16Z,after,youtube
HELL YEAH NEPAL 🇳🇵 🇳🇵🇳🇵 THE AMERICANS SUPPORT YOU🇺🇸🇺🇸🇺🇸,2025-09-16T00:55:10Z,after,youtube
People Power is working in Nepal. Brave and courageous people.,2025-09-16T00:02:11Z,after,youtube
😬😬😬 USAID 😬😬😬,2025-09-15T23:51:38Z,after,youtube
Michael Jackson - They Don’t Care About Us,2025-09-15T23:01:28Z,after,youtube
We’re are the feminists 😂😂,2025-09-15T22:14:41Z,after,youtube
"Thank you for including the heartwarming story about penguins at the end of the program!! I really wish more news outlets would do this!! After learning about all the ways the world is falling apart,   it's nice to see something happy 😊 😊",2025-09-15T20:26:48Z,after,youtube
"China should have no rule. 
Grow from within. 

Destruction serves no growth. 
Ahimsa. 🪬",2025-09-15T20:04:18Z,after,youtube
Good job,2025-09-15T19:08:05Z,after,youtube
They are protesting government over spending and corruption their tried of the politicians flashing their wealth and high unemployment,2025-09-15T18:58:57Z,after,youtube
Correction: the protest was never about social media. It was about corruption. The  movements you’re describing started from movement in the phillipines and then Indonesia. The political nepo babies are flaunting their wealth on social media and when the youth pointed it out the government wanted to ban social media. It started as a peaceful protest but when students were killed by the police that’s when the public started going after the pm and other politicians. Nepal has not asked for indias help. We will resolve our issues ourselves. Please don’t spread misinformation for your benefit,2025-09-15T18:11:00Z,after,youtube
They did the right thing.I support Gen Z.But i saw something totally outrageous.The youth looted some shop and grocery very shameful.The whole world see.They fight for corruption.But looted some stuff from stores.They are all same😅😅,2025-09-15T16:13:35Z,after,youtube
I'm surprised Trump hasn't tried that in the US yet...,2025-09-15T16:01:08Z,after,youtube
The brain-eating Indian propaganda about everything being a color revolution needs to end.,2025-09-15T14:10:39Z,after,youtube
I pray for their safety and the end of corruption.,2025-09-15T13:29:08Z,after,youtube
"Well done Gen Z, I'm so proud of you. Destroy these corruption, destroy those who try to manipulate and hoarding wealth. Love from Gen X",2025-09-15T13:14:26Z,after,youtube
This story is buried deep in American news. You have to really dig to find this.,2025-09-15T13:04:27Z,after,youtube
What kind of news are these ?,2025-09-15T12:52:10Z,after,youtube
My home country is getting close this. America will fly into civil war because of the pour policy and the indoctrination of ideology of our children funded by sick bureaucrats. Now Charlie Kirk’s death has us young men aligning themselves with faith here and are getting really pissed off,2025-09-15T12:28:29Z,after,youtube
Que les français fassent pareil,2025-09-15T11:35:38Z,after,youtube
Cardiff Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿 uk waching 🏥,2025-09-15T11:15:20Z,after,youtube
ကိုယ့်နိုင်ငံ ကိုယ်ဖျက်ဆီးခြင်း🎉🎉🎉,2025-09-15T10:54:01Z,after,youtube
"Can someone show me a country in 2025, where everything is fine, no problem at all?",2025-09-15T10:04:20Z,after,youtube
"Betrayal, Never comes from an enemy.

I'm On the Protesters.
Corruption has a cost.",2025-09-15T09:18:07Z,after,youtube
I really like this newsreader—he’s so dramatic 😂😂😂. He could probably turn the most boring book into something intense and gripping. Can’t believe I just sat through the entire episode.,2025-09-15T09:12:31Z,after,youtube
"Just to let you all know. That ""kwarden"" people talk about is a total scam",2025-09-15T09:06:38Z,after,youtube
Was it because of that Hitler Nepalese kid speech 😂 good to see India news opens its comment section where Australia closes them 😂,2025-09-15T09:05:12Z,after,youtube
"We hope that Nepal will return to normalcy soon.
And the new generation will lead the country to prosperity on par with developed nations.
Let's work together to combat corruption so that the people and the country can find peace.",2025-09-15T08:03:05Z,after,youtube
"The US has a lot to answer regarding the situation. Have no doubt about it. A social revolution is needed, not civil war but there is not enough knowledge within the people and no organisation. WE have agitation yes, but without leadership and knowledge nothing positive can come out, unfortunately.",2025-09-15T06:08:30Z,after,youtube
"just think about it like this washington, the gen Z population in the US is more than double Nepals entire population",2025-09-15T02:35:43Z,after,youtube
"This was a complete setup from unbeknownst agenda, whose mission is to paralyze Nepalese economy and administration. Some sinisters forced young children to join the protest under the safehood gurantee from wearing School uniform.

Gen Z was only supposed to end corruption, not to vandalize public property and rob business. 

And the police blindly fired shots out of fear, resulting in anarchist moment from parents of victims and other citizens. 

To tell the truth, nothing  has been achieved. The same ministers who were put out of commission will rise again after few years via elections.",2025-09-15T02:26:28Z,after,youtube
"My country is also in chaos because of extreme corruption but** our young blood Gen Z don’t burn government properties because they knew it’s “ours.” 
 It was built by the taxpayers money.",2025-09-15T00:41:37Z,after,youtube
Unfortunately people all over the world are tired from all  corrupted politician created,2025-09-15T00:24:38Z,after,youtube
"NIGERIAN LEADERS, BEWARE!!! YOUR OWN TURN MAY BE IN SIGHT!",2025-09-14T22:50:17Z,after,youtube
"The Chinese dictatorship has long wanted Nepal and Bhutan to belong to the Communist Party, like Xinjiang, Tibet, and Inner Mongolia, where there are now more Han settlers than natives. It corrupts everyone in the country and demands that Tibetan refugees in Nepal be sent to China for punishment. Nepal, like Laos, Cambodia, and Thailand, cannot decide anything without Beijing's approval. They are quasi-provinces of China.",2025-09-14T21:37:45Z,after,youtube
THE MILITARY SHOULD ARREST ALL THE POLITICIANS AND  TAKE OVER THE COUNTRY,2025-09-14T21:25:33Z,after,youtube
군대가 선출된 정치인의 통제없이 사회를 통제하면 그 사회의 민주주의는 끝난다. 더 오래지나면 군대의 장군들이 지배계급이 된다.,2025-09-14T20:28:55Z,after,youtube
"Hopefully, this wakes up western countries. As this can happen to ANY country.",2025-09-14T20:12:06Z,after,youtube
it’s your turn USA,2025-09-14T20:00:02Z,after,youtube
"In india, they dont mind smelling each others armpits everyday on the train. Why?",2025-09-14T17:59:48Z,after,youtube
